No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
100251,3485.74,0,::208:8:8:8,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100253,3485.84,0.1,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100255,3485.85,0.01,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100257,3485.9,0.05,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100259,3486.07,0.17,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100263,3486.17,0.1,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100265,3486.29,0.12,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100267,3486.45,0.16,::208:8:8:8,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100269,3486.95,0.5,::201:1:1:1,::208:8:8:8,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100271,3486.97,0.02,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100273,3487.08,0.11,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100275,3487.11,0.03,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100277,3487.12,0.01,::201:1:1:1,::208:8:8:8,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100279,3487.14,0.02,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100281,3487.25,0.11,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100282,3487.25,0,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100284,3487.41,0.16,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100286,3487.42,0.01,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100288,3487.45,0.03,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100290,3487.53,0.08,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100292,3487.58,0.05,::201:1:1:1,::208:8:8:8,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100294,3487.59,0.01,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100302,3487.75,0.16,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100307,3487.87,0.12,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100310,3487.92,0.05,::201:1:1:1,::208:8:8:8,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100334,3489.42,1.5,::205:5:5:5,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100336,3489.51,0.09,::205:5:5:5,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100338,3489.57,0.06,::205:5:5:5,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100340,3489.71,0.14,::205:5:5:5,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100342,3489.94,0.23,::201:1:1:1,::205:5:5:5,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100344,3489.95,0.01,::201:1:1:1,::205:5:5:5,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100346,3490.03,0.08,::201:1:1:1,::205:5:5:5,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100348,3490.14,0.11,::201:1:1:1,::205:5:5:5,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100350,3490.25,0.11,::238:38:38:38,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100352,3490.3,0.05,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100354,3490.41,0.11,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100356,3490.42,0.01,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100358,3490.43,0.01,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100360,3490.47,0.04,::238:38:38:38,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100366,3491,0.53,::201:1:1:1,::238:38:38:38,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100368,3491.12,0.12,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100371,3491.17,0.05,::201:1:1:1,::238:38:38:38,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100374,3491.27,0.1,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100376,3491.29,0.02,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100378,3491.35,0.06,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100380,3491.44,0.09,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100382,3491.5,0.06,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100384,3491.52,0.02,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100389,3491.63,0.11,::201:1:1:1,::238:38:38:38,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100393,3491.67,0.04,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100400,3491.8,0.13,::201:1:1:1,::238:38:38:38,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100402,3491.81,0.01,::22d:2d:2d:2d,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100409,3491.89,0.08,::22d:2d:2d:2d,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100414,3492.05,0.16,::201:1:1:1,::22d:2d:2d:2d,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100417,3492.11,0.06,::201:1:1:1,::22d:2d:2d:2d,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100420,3492.22,0.11,::201:1:1:1,::22d:2d:2d:2d,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100422,3492.28,0.06,::201:1:1:1,::22d:2d:2d:2d,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100428,3493.81,1.53,::21e:1e:1e:1e,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100430,3493.82,0.01,::21e:1e:1e:1e,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
