No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
1103326,38105.67,0,::208:8:8:8,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103329,38105.78,0.11,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103331,38105.93,0.15,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103336,38106,0.07,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103341,38106.07,0.07,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103351,38106.24,0.17,::208:8:8:8,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103355,38106.35,0.11,::208:8:8:8,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103364,38106.47,0.12,::201:1:1:1,::208:8:8:8,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103366,38106.49,0.02,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103371,38106.59,0.1,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103375,38106.64,0.05,::201:1:1:1,::208:8:8:8,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103377,38106.66,0.02,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103379,38106.69,0.03,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103381,38106.75,0.06,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103383,38106.76,0.01,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103385,38106.77,0.01,::201:1:1:1,::208:8:8:8,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103389,38106.86,0.09,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103391,38106.92,0.06,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103393,38106.94,0.02,::201:1:1:1,::208:8:8:8,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103402,38107.85,0.91,::206:6:6:6,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1103404,38107.96,0.11,::206:6:6:6,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1103408,38108.11,0.15,::206:6:6:6,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1103410,38108.22,0.11,::206:6:6:6,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1103412,38108.51,0.29,::201:1:1:1,::206:6:6:6,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103414,38108.53,0.02,::201:1:1:1,::206:6:6:6,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103416,38108.59,0.06,::201:1:1:1,::206:6:6:6,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103418,38108.61,0.02,::201:1:1:1,::206:6:6:6,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103422,38109.32,0.71,::205:5:5:5,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1103426,38109.47,0.15,::205:5:5:5,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1103428,38109.58,0.11,::205:5:5:5,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1103434,38110.04,0.46,::201:1:1:1,::205:5:5:5,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103437,38110.06,0.02,::201:1:1:1,::205:5:5:5,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103443,38110.12,0.06,::201:1:1:1,::205:5:5:5,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103447,38110.26,0.14,::238:38:38:38,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103453,38110.38,0.12,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103461,38110.54,0.16,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103465,38110.57,0.03,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103467,38110.69,0.12,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103469,38110.81,0.12,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103471,38110.85,0.04,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103473,38110.9,0.05,::238:38:38:38,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103475,38110.94,0.04,::238:38:38:38,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1103477,38111.57,0.63,::201:1:1:1,::238:38:38:38,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103479,38111.71,0.14,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103481,38111.74,0.03,::201:1:1:1,::238:38:38:38,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103483,38111.83,0.09,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103485,38111.87,0.04,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103487,38111.88,0.01,::22d:2d:2d:2d,::201:1:1:1,UDP,53,"6,4",8765,5678,�\234\223,8765  >  5678 Len=4
1103489,38111.88,0,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103491,38111.92,0.04,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103493,38111.97,0.05,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103495,38111.98,0.01,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103497,38112,0.02,::22d:2d:2d:2d,::201:1:1:1,UDP,62,"6,4",8765,5678,�\234\223,8765  >  5678 Len=4
1103498,38112,0,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103499,38112.12,0.12,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103501,38112.17,0.05,::201:1:1:1,::238:38:38:38,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103502,38112.17,0,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103505,38112.21,0.04,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103507,38112.26,0.05,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103509,38112.31,0.05,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103511,38112.32,0.01,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103513,38112.34,0.02,::22d:2d:2d:2d,::201:1:1:1,UDP,62,"6,4",8765,5678,�\234\223,8765  >  5678 Len=4
1103515,38112.38,0.04,::22d:2d:2d:2d,::201:1:1:1,UDP,62,"6,4",8765,5678,�\234\223,8765  >  5678 Len=4
1103517,38112.43,0.05,::22d:2d:2d:2d,::201:1:1:1,UDP,62,"6,4",8765,5678,�\234\223,8765  >  5678 Len=4
1103519,38112.46,0.03,::201:1:1:1,::238:38:38:38,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103521,38112.47,0.01,::22d:2d:2d:2d,::201:1:1:1,UDP,54,"6,4",8765,5678,�\234\223,8765  >  5678 Len=4
1103523,38112.51,0.04,::201:1:1:1,::238:38:38:38,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103529,38113.1,0.59,::201:1:1:1,::22d:2d:2d:2d,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1103531,38113.24,0.14,::201:1:1:1,::22d:2d:2d:2d,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
