No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
479589,18905.76,0,::208:8:8:8,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
479593,18905.86,0.1,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
479595,18905.89,0.03,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
479597,18905.96,0.07,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
479603,18906.09,0.13,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
479605,18906.19,0.1,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
479609,18906.31,0.12,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
479612,18906.47,0.16,::208:8:8:8,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
479623,18906.97,0.5,::201:1:1:1,::208:8:8:8,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
479625,18906.99,0.02,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
479629,18907.1,0.11,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
479631,18907.13,0.03,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
479638,18907.29,0.16,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
479641,18907.3,0.01,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
479645,18907.38,0.08,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
479650,18907.43,0.05,::201:1:1:1,::208:8:8:8,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
479665,18907.86,0.43,::206:6:6:6,::201:1:1:1,UDP,42,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
479669,18908.09,0.23,::201:1:1:1,::206:6:6:6,UDP,107,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
479682,18909.27,1.18,::205:5:5:5,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
479684,18909.36,0.09,::205:5:5:5,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
